"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка customer-controller","237","Проверка customer-controller","","Mon May 11 07:20:29 UTC 2026","failed","Mon May 11 07:20:29 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testFCustomerController"
"Проверка artist-controller","605","Проверка artist-controller","","Mon May 11 07:20:28 UTC 2026","failed","Mon May 11 07:20:29 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testAArtistController"
"Проверка album-controller","193","Проверка album-controller","","Mon May 11 07:20:29 UTC 2026","failed","Mon May 11 07:20:29 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testBBAlbumController"
"Проверка invoice-line-controller","43","Проверка invoice-line-controller","","Mon May 11 07:20:30 UTC 2026","failed","Mon May 11 07:20:30 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testLInvoiceLineController"
"Проверка track-controller","47","Проверка track-controller","","Mon May 11 07:20:30 UTC 2026","failed","Mon May 11 07:20:30 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testJTrackController"
"Проверка invoice-controller","334","Проверка invoice-controller","","Mon May 11 07:20:29 UTC 2026","failed","Mon May 11 07:20:30 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testHInvoiceController"
"Проверка genre-controller","89","Проверка genre-controller","","Mon May 11 07:20:29 UTC 2026","failed","Mon May 11 07:20:29 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testCGenreController"
"Проверка employee-controller","207","Проверка employee-controller","","Mon May 11 07:20:29 UTC 2026","failed","Mon May 11 07:20:29 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testGEmployeeController"
"","2936","testUserCreateAndGetToken()","","Mon May 11 07:20:25 UTC 2026","passed","Mon May 11 07:20:28 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.AuthTest","digital.store.api.tests.DigitalStoreApiTests$AuthTest","testUserCreateAndGetToken"
"Проверка media-type-controller","74","Проверка media-type-controller","","Mon May 11 07:20:29 UTC 2026","failed","Mon May 11 07:20:29 UTC 2026","","digital.store.api.tests.DigitalStoreApiTests.ControllerTests","digital.store.api.tests.DigitalStoreApiTests$ControllerTests","testDMediaTypeController"
